,time,into,inth,intl,intc
0,2024-02-01 09:55:00,1460.4,1461.4,1459.15,1460.85
1,2024-02-01 10:00:00,1461.1,1461.3,1458.15,1460.25
2,2024-02-01 10:05:00,1459.3,1464.15,1458.65,1462.85
3,2024-02-01 10:10:00,1462.65,1464.25,1461.85,1463.3
4,2024-02-01 10:15:00,1463.25,1466.8,1461.15,1466.35
5,2024-02-01 10:20:00,1466.15,1466.7,1463.65,1464.9
6,2024-02-01 10:25:00,1465.35,1469.4,1464.9,1468.45
7,2024-02-01 10:30:00,1468.4,1469.3,1467.15,1469.15
8,2024-02-01 10:35:00,1469.0,1470.6,1468.3,1469.45
9,2024-02-01 10:40:00,1469.2,1469.45,1467.3,1468.7
10,2024-02-01 10:45:00,1468.55,1470.4,1467.7,1470.3
11,2024-02-01 10:50:00,1469.9,1470.7,1469.6,1470.5
12,2024-02-01 10:55:00,1470.6,1471.85,1468.0,1470.2
13,2024-02-01 11:00:00,1470.25,1473.6,1469.65,1471.3
14,2024-02-01 11:05:00,1471.5,1472.0,1468.0,1470.9
15,2024-02-01 11:10:00,1470.55,1471.25,1469.1,1469.55
16,2024-02-01 11:15:00,1469.5,1469.8,1461.0,1464.45
17,2024-02-01 11:20:00,1464.7,1467.0,1464.45,1466.15
18,2024-02-01 11:25:00,1466.0,1467.75,1465.5,1467.2
19,2024-02-01 11:30:00,1467.25,1467.7,1463.3,1464.6
20,2024-02-01 11:35:00,1465.0,1467.8,1464.0,1467.2
21,2024-02-01 11:40:00,1467.1,1467.75,1465.0,1466.05
22,2024-02-01 11:45:00,1466.1,1467.5,1465.15,1467.15
23,2024-02-01 11:50:00,1467.45,1468.75,1466.65,1466.75
24,2024-02-01 11:55:00,1467.3,1467.55,1462.55,1466.3
25,2024-02-01 12:00:00,1466.2,1466.7,1456.15,1461.75
26,2024-02-01 12:05:00,1461.7,1465.65,1459.95,1465.6
27,2024-02-01 12:10:00,1465.05,1467.7,1464.6,1466.35
28,2024-02-01 12:15:00,1466.05,1467.0,1463.5,1465.3
29,2024-02-01 12:20:00,1465.25,1465.6,1462.0,1464.75
30,2024-02-01 12:25:00,1464.55,1466.0,1464.0,1465.8
31,2024-02-01 12:30:00,1465.65,1466.5,1464.75,1466.25
32,2024-02-01 12:35:00,1466.5,1467.45,1465.25,1465.75
33,2024-02-01 12:40:00,1465.7,1466.25,1464.6,1465.45
34,2024-02-01 12:45:00,1465.5,1470.0,1465.0,1469.0
35,2024-02-01 12:50:00,1469.3,1470.0,1467.45,1469.05
36,2024-02-01 12:55:00,1469.0,1469.5,1465.8,1466.8
37,2024-02-01 13:00:00,1466.7,1467.45,1464.0,1465.4
38,2024-02-01 13:05:00,1465.35,1465.4,1462.2,1464.6
39,2024-02-01 13:10:00,1464.65,1466.0,1464.1,1464.5
40,2024-02-01 13:15:00,1464.55,1465.9,1463.2,1463.55
41,2024-02-01 13:20:00,1463.75,1466.3,1463.75,1465.7
42,2024-02-01 13:25:00,1465.75,1466.15,1463.2,1464.7
43,2024-02-01 13:30:00,1464.6,1465.0,1462.0,1463.95
44,2024-02-01 13:35:00,1464.2,1465.45,1462.85,1463.1
45,2024-02-01 13:40:00,1463.15,1464.0,1461.9,1462.65
46,2024-02-01 13:45:00,1462.7,1463.65,1461.2,1463.1
47,2024-02-01 13:50:00,1463.2,1464.85,1462.55,1463.85
48,2024-02-01 13:55:00,1463.9,1465.0,1463.15,1464.65
49,2024-02-01 14:00:00,1464.6,1465.0,1464.0,1464.8
50,2024-02-01 14:05:00,1464.5,1464.85,1461.5,1462.95
51,2024-02-01 14:10:00,1463.0,1465.4,1462.85,1465.0
52,2024-02-01 14:15:00,1465.05,1465.45,1462.6,1464.85
53,2024-02-01 14:20:00,1464.9,1465.35,1464.2,1465.25
54,2024-02-01 14:25:00,1465.3,1466.0,1464.2,1465.25
55,2024-02-01 14:30:00,1465.0,1465.5,1463.5,1463.8
56,2024-02-01 14:35:00,1463.75,1464.5,1462.0,1462.55
57,2024-02-01 14:40:00,1462.6,1464.25,1462.0,1462.95
58,2024-02-01 14:45:00,1463.1,1465.5,1462.8,1465.05
59,2024-02-01 14:50:00,1465.1,1466.6,1465.0,1466.25
60,2024-02-01 14:55:00,1466.3,1467.25,1465.6,1467.15
61,2024-02-01 15:00:00,1467.05,1467.2,1465.0,1465.4
62,2024-02-01 15:05:00,1465.25,1466.8,1465.0,1465.8
63,2024-02-01 15:10:00,1465.9,1466.5,1464.25,1465.0
64,2024-02-01 15:15:00,1464.95,1467.25,1464.65,1466.45
65,2024-02-01 15:20:00,1466.6,1468.0,1465.9,1467.0
66,2024-02-01 15:25:00,1467.1,1475.0,1465.5,1475.0
67,2024-02-02 09:15:00,1474.0,1479.0,1470.05,1479.0
68,2024-02-02 09:20:00,1478.55,1480.75,1477.5,1480.35
69,2024-02-02 09:25:00,1480.55,1480.55,1476.35,1476.5
70,2024-02-02 09:30:00,1476.8,1477.5,1475.5,1477.4
71,2024-02-02 09:35:00,1477.5,1478.0,1474.05,1475.95
72,2024-02-02 09:40:00,1476.0,1477.1,1475.0,1477.05
73,2024-02-02 09:45:00,1476.95,1477.0,1472.2,1473.75
74,2024-02-02 09:50:00,1473.6,1474.2,1472.2,1472.8
75,2024-02-02 09:55:00,1473.0,1475.1,1472.15,1473.25
76,2024-02-02 10:00:00,1473.15,1474.0,1472.15,1473.45
77,2024-02-02 10:05:00,1473.4,1474.0,1471.1,1472.05
78,2024-02-02 10:10:00,1472.1,1472.5,1470.35,1471.2
79,2024-02-02 10:15:00,1471.5,1472.1,1469.15,1469.95
80,2024-02-02 10:20:00,1470.1,1471.45,1469.25,1470.6
81,2024-02-02 10:25:00,1470.5,1471.05,1469.0,1469.55
82,2024-02-02 10:30:00,1469.5,1469.55,1467.25,1467.9
83,2024-02-02 10:35:00,1467.95,1468.8,1466.15,1466.2
84,2024-02-02 10:40:00,1466.4,1467.55,1465.55,1467.45
85,2024-02-02 10:45:00,1467.4,1467.4,1465.3,1465.55
86,2024-02-02 10:50:00,1465.5,1466.1,1465.0,1465.5
87,2024-02-02 10:55:00,1465.35,1467.3,1464.0,1465.95
88,2024-02-02 11:00:00,1465.8,1467.7,1465.5,1466.3
89,2024-02-02 11:05:00,1466.2,1466.3,1463.0,1463.55
90,2024-02-02 11:10:00,1463.65,1469.35,1463.55,1468.0
91,2024-02-02 11:15:00,1468.55,1471.8,1468.55,1469.85
92,2024-02-02 11:20:00,1469.6,1471.55,1469.6,1470.3
93,2024-02-02 11:25:00,1470.5,1471.0,1469.15,1470.1
94,2024-02-02 11:30:00,1470.05,1474.7,1470.0,1474.7
95,2024-02-02 11:35:00,1474.5,1478.0,1473.2,1476.7
96,2024-02-02 11:40:00,1476.9,1478.95,1475.1,1475.7
97,2024-02-02 11:45:00,1476.15,1477.3,1474.0,1474.6
98,2024-02-02 11:50:00,1474.65,1475.55,1473.15,1474.0
99,2024-02-02 11:55:00,1473.85,1475.0,1473.6,1473.7
100,2024-02-02 12:00:00,1474.2,1474.35,1473.45,1473.65
101,2024-02-02 12:05:00,1473.85,1474.0,1469.45,1470.85
102,2024-02-02 12:10:00,1470.4,1471.1,1468.55,1469.75
103,2024-02-02 12:15:00,1469.45,1470.05,1467.0,1468.05
104,2024-02-02 12:20:00,1467.9,1468.25,1464.15,1464.45
105,2024-02-02 12:25:00,1464.05,1466.0,1460.0,1460.3
106,2024-02-02 12:30:00,1460.1,1462.6,1455.85,1462.1
107,2024-02-02 12:35:00,1461.85,1462.05,1457.0,1461.8
108,2024-02-02 12:40:00,1461.95,1464.7,1460.2,1463.15
109,2024-02-02 12:45:00,1462.85,1463.3,1458.5,1459.3
110,2024-02-02 12:50:00,1459.4,1461.45,1457.55,1459.5
111,2024-02-02 12:55:00,1459.55,1460.8,1459.15,1459.3
112,2024-02-02 13:00:00,1459.5,1460.85,1457.6,1460.75
113,2024-02-02 13:05:00,1460.8,1460.8,1456.0,1456.2
114,2024-02-02 13:10:00,1456.0,1457.35,1453.45,1454.55
115,2024-02-02 13:15:00,1454.35,1458.25,1454.0,1456.55
116,2024-02-02 13:20:00,1456.5,1456.5,1453.25,1453.25
117,2024-02-02 13:25:00,1453.4,1453.85,1450.65,1451.7
118,2024-02-02 13:30:00,1451.8,1452.6,1448.0,1451.7
119,2024-02-02 13:35:00,1451.65,1455.75,1451.45,1455.05
120,2024-02-02 13:40:00,1455.45,1456.35,1451.9,1452.3
121,2024-02-02 13:45:00,1452.4,1454.0,1452.0,1452.8
122,2024-02-02 13:50:00,1452.85,1454.0,1451.3,1453.95
123,2024-02-02 13:55:00,1454.0,1454.85,1453.25,1454.2
124,2024-02-02 14:00:00,1454.25,1455.5,1453.0,1453.75
125,2024-02-02 14:05:00,1453.6,1457.2,1453.15,1455.9
126,2024-02-02 14:10:00,1456.2,1457.2,1453.25,1455.0
127,2024-02-02 14:15:00,1455.05,1456.4,1453.65,1454.6
128,2024-02-02 14:20:00,1454.45,1455.95,1453.8,1455.95
129,2024-02-02 14:25:00,1455.9,1456.8,1454.3,1455.1
130,2024-02-02 14:30:00,1455.15,1455.9,1453.05,1454.2
131,2024-02-02 14:35:00,1454.4,1455.95,1453.7,1454.35
132,2024-02-02 14:40:00,1454.25,1454.85,1453.6,1453.85
133,2024-02-02 14:45:00,1453.7,1454.0,1451.5,1451.8
134,2024-02-02 14:50:00,1451.6,1452.1,1447.0,1448.15
135,2024-02-02 14:55:00,1448.4,1449.2,1445.4,1448.25
136,2024-02-02 15:00:00,1448.2,1450.0,1445.5,1446.7
137,2024-02-02 15:05:00,1446.85,1449.4,1446.0,1448.35
138,2024-02-02 15:10:00,1448.4,1448.5,1446.0,1446.6
139,2024-02-02 15:15:00,1446.5,1447.0,1445.0,1445.7
140,2024-02-02 15:20:00,1445.75,1445.95,1444.1,1445.0
141,2024-02-02 15:25:00,1444.95,1446.0,1442.5,1445.9
142,2024-02-03 11:00:00,1445.9,1445.9,1445.9,1445.9
143,2024-02-03 11:05:00,1445.9,1445.9,1400.0,1400.0
144,2024-02-03 11:15:00,1459.0,1590.75,1459.0,1463.35
145,2024-02-03 11:20:00,1463.3,1463.35,1320.65,1390.2
146,2024-02-03 11:25:00,1390.15,1590.75,1389.75,1504.2
147,2024-02-03 11:30:00,1521.1,1662.0,1391.0,1610.0
148,2024-02-03 11:35:00,1634.15,1725.0,1350.0,1621.75
149,2024-02-03 12:05:00,1615.0,1680.0,1600.0,1600.0
150,2024-02-03 12:10:00,1600.05,1630.0,1560.0,1560.0
151,2024-02-03 12:15:00,1574.95,1735.35,1574.95,1698.5
152,2024-02-03 12:20:00,1690.0,1735.0,1555.0,1621.0
153,2024-02-03 12:25:00,1620.0,1735.35,1620.0,1735.35
154,2024-02-03 12:30:00,1735.35,1807.65,1735.35,1807.65
155,2024-02-03 12:35:00,1807.65,1807.65,1735.0,1807.65
156,2024-02-03 12:40:00,1741.0,1746.25,1471.2,1473.7
157,2024-02-03 12:45:00,1473.65,1474.4,1463.35,1471.65
158,2024-02-03 12:50:00,1471.7,1478.35,1456.3,1459.3
159,2024-02-03 12:55:00,1459.05,1563.75,1383.25,1563.75
160,2024-02-03 14:35:00,1563.75,1563.75,1500.0,1500.0
161,2024-02-03 14:40:00,1500.0,1500.0,1500.0,1500.0
162,2024-02-03 14:45:00,1500.0,1500.0,1446.3,1446.3
163,2024-02-03 14:50:00,1446.3,1562.95,1446.3,1562.95
164,2024-02-03 14:55:00,1563.0,1589.95,1425.0,1425.0
165,2024-02-03 15:00:00,1562.5,1562.5,1396.5,1471.35
166,2024-02-03 15:05:00,1471.55,1471.9,1471.35,1471.9
167,2024-02-03 15:10:00,1471.55,1471.9,1471.2,1471.9
168,2024-02-03 15:15:00,1471.9,1472.3,1471.2,1471.2
169,2024-02-03 15:20:00,1472.3,1472.35,1471.2,1472.35
170,2024-02-03 15:25:00,1472.35,1472.35,1446.0,1446.0
171,2024-02-05 09:15:00,1446.05,1446.05,1435.75,1436.65
172,2024-02-05 09:20:00,1436.9,1439.2,1435.3,1438.2
173,2024-02-05 09:25:00,1437.6,1439.45,1435.25,1438.3
174,2024-02-05 09:30:00,1438.6,1438.65,1434.45,1435.0
175,2024-02-05 09:35:00,1435.45,1437.3,1434.3,1437.3
176,2024-02-05 09:40:00,1437.8,1438.6,1435.15,1436.0
177,2024-02-05 09:45:00,1435.65,1437.6,1434.5,1436.5
178,2024-02-05 09:50:00,1436.25,1441.85,1435.75,1439.9
179,2024-02-05 09:55:00,1440.0,1441.95,1438.7,1441.7
180,2024-02-05 10:00:00,1441.95,1442.3,1439.0,1439.0
181,2024-02-05 10:05:00,1439.15,1440.4,1437.25,1439.25
182,2024-02-05 10:10:00,1439.05,1440.8,1438.75,1440.35
183,2024-02-05 10:15:00,1440.5,1440.65,1436.0,1436.5
184,2024-02-05 10:20:00,1436.45,1437.35,1435.3,1436.65
185,2024-02-05 10:25:00,1436.75,1436.75,1435.25,1435.7
186,2024-02-05 10:30:00,1435.55,1435.9,1434.05,1434.35
187,2024-02-05 10:35:00,1434.4,1435.9,1434.25,1435.0
188,2024-02-05 10:40:00,1435.1,1436.0,1434.4,1436.0
189,2024-02-05 10:45:00,1435.8,1437.0,1435.8,1436.1
190,2024-02-05 10:50:00,1436.05,1437.05,1435.05,1437.0
191,2024-02-05 10:55:00,1437.05,1439.8,1437.05,1438.85
192,2024-02-05 11:00:00,1438.9,1440.85,1438.35,1439.75
193,2024-02-05 11:05:00,1439.9,1440.95,1439.55,1440.4
194,2024-02-05 11:10:00,1440.3,1442.7,1440.1,1442.2
195,2024-02-05 11:15:00,1442.0,1445.25,1441.6,1443.1
196,2024-02-05 11:20:00,1443.4,1443.5,1442.05,1442.6
197,2024-02-05 11:25:00,1442.15,1443.0,1440.4,1443.0
198,2024-02-05 11:30:00,1442.9,1444.8,1442.05,1442.95
199,2024-02-05 11:35:00,1443.6,1444.9,1442.3,1444.75
200,2024-02-05 11:40:00,1444.9,1444.95,1440.0,1440.1
201,2024-02-05 11:45:00,1440.0,1442.15,1438.4,1442.15
202,2024-02-05 11:50:00,1442.2,1443.95,1441.0,1443.8
203,2024-02-05 11:55:00,1443.45,1446.75,1442.5,1446.0
204,2024-02-05 12:00:00,1446.1,1447.7,1442.85,1443.15
205,2024-02-05 12:05:00,1443.2,1444.15,1442.3,1444.05
206,2024-02-05 12:10:00,1444.15,1445.5,1443.7,1445.45
207,2024-02-05 12:15:00,1445.4,1447.0,1445.15,1446.4
208,2024-02-05 12:20:00,1446.3,1447.95,1446.3,1447.5
209,2024-02-05 12:25:00,1447.6,1447.9,1445.0,1445.2
210,2024-02-05 12:30:00,1445.25,1446.0,1445.0,1445.05
211,2024-02-05 12:35:00,1445.15,1446.4,1445.05,1445.9
212,2024-02-05 12:40:00,1445.85,1447.2,1445.55,1447.05
213,2024-02-05 12:45:00,1447.0,1449.8,1446.7,1449.1
214,2024-02-05 12:50:00,1449.25,1449.55,1447.3,1447.75
215,2024-02-05 12:55:00,1447.85,1449.7,1447.5,1448.55
216,2024-02-05 13:00:00,1448.65,1449.0,1448.05,1448.95
217,2024-02-05 13:05:00,1448.85,1450.7,1448.65,1450.2
218,2024-02-05 13:10:00,1450.3,1450.95,1450.1,1450.6
219,2024-02-05 13:15:00,1450.7,1450.85,1448.3,1448.95
220,2024-02-05 13:20:00,1448.9,1450.45,1448.55,1448.9
221,2024-02-05 13:25:00,1448.85,1449.1,1445.2,1445.4
222,2024-02-05 13:30:00,1445.3,1447.95,1445.3,1447.6
223,2024-02-05 13:35:00,1447.45,1448.95,1446.55,1446.55
224,2024-02-05 13:40:00,1446.45,1447.25,1445.0,1446.3
225,2024-02-05 13:45:00,1446.25,1450.7,1445.5,1450.3
226,2024-02-05 13:50:00,1450.25,1450.9,1450.05,1450.15
227,2024-02-05 13:55:00,1450.1,1450.8,1450.0,1450.3
228,2024-02-05 14:00:00,1450.6,1451.8,1449.75,1450.0
229,2024-02-05 14:05:00,1450.05,1450.8,1446.1,1446.25
230,2024-02-05 14:10:00,1446.05,1447.5,1444.5,1446.9
231,2024-02-05 14:15:00,1447.0,1447.75,1446.25,1447.0
232,2024-02-05 14:20:00,1447.05,1447.45,1446.0,1446.3
233,2024-02-05 14:25:00,1446.35,1446.7,1445.0,1445.15
234,2024-02-05 14:30:00,1445.3,1446.0,1443.15,1444.0
235,2024-02-05 14:35:00,1443.8,1444.0,1440.6,1441.4
236,2024-02-05 14:40:00,1441.65,1442.0,1438.15,1439.7
237,2024-02-05 14:45:00,1439.65,1441.0,1437.0,1439.3
238,2024-02-05 14:50:00,1439.35,1441.35,1438.35,1441.15
239,2024-02-05 14:55:00,1441.0,1441.85,1439.65,1441.7
240,2024-02-05 15:00:00,1441.45,1446.4,1441.35,1445.55
241,2024-02-05 15:05:00,1445.6,1447.9,1445.0,1446.75
242,2024-02-05 15:10:00,1446.55,1446.55,1444.6,1445.55
243,2024-02-05 15:15:00,1445.9,1446.8,1445.0,1445.05
244,2024-02-05 15:20:00,1445.1,1445.5,1444.15,1444.95
245,2024-02-05 15:25:00,1445.0,1445.55,1441.6,1445.55
246,2024-02-06 09:15:00,1445.9,1445.9,1439.1,1440.25
247,2024-02-06 09:20:00,1440.6,1440.6,1437.55,1438.7
248,2024-02-06 09:25:00,1438.75,1439.85,1437.0,1437.35
249,2024-02-06 09:30:00,1437.05,1439.7,1436.4,1437.5
250,2024-02-06 09:35:00,1437.4,1440.55,1436.75,1439.1
251,2024-02-06 09:40:00,1439.25,1440.9,1438.25,1440.75
252,2024-02-06 09:45:00,1440.7,1441.85,1438.4,1441.0
253,2024-02-06 09:50:00,1440.95,1441.15,1438.3,1438.95
254,2024-02-06 09:55:00,1438.9,1440.4,1437.45,1438.9
255,2024-02-06 10:00:00,1438.7,1440.75,1437.85,1440.75
256,2024-02-06 10:05:00,1440.55,1440.55,1438.3,1438.55
257,2024-02-06 10:10:00,1438.7,1439.9,1438.05,1438.1
258,2024-02-06 10:15:00,1438.05,1439.35,1437.55,1438.3
259,2024-02-06 10:20:00,1438.5,1438.75,1437.8,1437.9
260,2024-02-06 10:25:00,1437.85,1438.6,1437.45,1437.85
261,2024-02-06 10:30:00,1437.95,1437.95,1434.8,1436.9
262,2024-02-06 10:35:00,1437.0,1437.0,1436.0,1436.7
263,2024-02-06 10:40:00,1436.65,1437.05,1435.5,1436.9
264,2024-02-06 10:45:00,1437.45,1437.8,1435.9,1436.2
265,2024-02-06 10:50:00,1436.15,1437.1,1436.15,1436.95
266,2024-02-06 10:55:00,1437.0,1437.05,1436.0,1436.3
267,2024-02-06 11:00:00,1436.25,1436.95,1435.2,1435.3
268,2024-02-06 11:05:00,1435.2,1436.4,1435.1,1436.05
269,2024-02-06 11:10:00,1436.0,1436.05,1434.25,1435.65
270,2024-02-06 11:15:00,1435.5,1435.7,1435.2,1435.25
271,2024-02-06 11:20:00,1435.1,1435.25,1435.0,1435.05
272,2024-02-06 11:25:00,1435.1,1435.55,1434.15,1434.15
273,2024-02-06 11:30:00,1434.2,1439.3,1432.7,1438.7
274,2024-02-06 11:35:00,1438.9,1439.5,1437.1,1438.0
275,2024-02-06 11:40:00,1437.95,1438.5,1437.55,1437.95
276,2024-02-06 11:45:00,1437.9,1438.3,1437.5,1437.8
277,2024-02-06 11:50:00,1437.75,1439.0,1437.65,1439.0
278,2024-02-06 11:55:00,1438.95,1441.0,1438.8,1440.9
279,2024-02-06 12:00:00,1440.95,1441.85,1440.3,1440.45
280,2024-02-06 12:05:00,1440.4,1441.0,1439.6,1440.65
281,2024-02-06 12:10:00,1440.5,1440.95,1440.0,1440.05
282,2024-02-06 12:15:00,1440.0,1443.8,1439.95,1443.55
283,2024-02-06 12:20:00,1443.5,1444.6,1442.4,1443.45
284,2024-02-06 12:25:00,1443.25,1444.75,1442.9,1443.1
285,2024-02-06 12:30:00,1443.05,1445.8,1443.0,1445.1
286,2024-02-06 12:35:00,1445.45,1446.9,1443.5,1444.4
287,2024-02-06 12:40:00,1444.45,1444.95,1443.7,1444.8
288,2024-02-06 12:45:00,1444.75,1446.05,1443.9,1445.0
289,2024-02-06 12:50:00,1444.95,1445.9,1444.05,1445.25
290,2024-02-06 12:55:00,1445.15,1445.45,1444.25,1445.05
291,2024-02-06 13:00:00,1445.15,1445.25,1444.45,1444.55
292,2024-02-06 13:05:00,1444.5,1446.65,1444.5,1445.0
293,2024-02-06 13:10:00,1445.05,1445.1,1445.0,1445.05
294,2024-02-06 13:15:00,1445.0,1446.6,1444.6,1445.75
295,2024-02-06 13:20:00,1445.7,1446.6,1445.0,1446.2
296,2024-02-06 13:25:00,1446.0,1447.1,1445.5,1446.45
297,2024-02-06 13:30:00,1446.55,1447.9,1446.45,1447.6
298,2024-02-06 13:35:00,1447.55,1447.65,1443.75,1446.05
299,2024-02-06 13:40:00,1446.1,1447.9,1446.0,1447.55
300,2024-02-06 13:45:00,1447.5,1447.6,1446.0,1447.15
301,2024-02-06 13:50:00,1447.25,1449.65,1447.15,1448.35
302,2024-02-06 13:55:00,1448.3,1448.4,1447.0,1447.55
303,2024-02-06 14:00:00,1447.45,1447.7,1446.0,1446.45
304,2024-02-06 14:05:00,1446.5,1446.55,1445.5,1445.6
305,2024-02-06 14:10:00,1445.55,1446.05,1444.5,1445.25
306,2024-02-06 14:15:00,1445.15,1446.05,1445.0,1445.55
307,2024-02-06 14:20:00,1445.5,1445.65,1444.75,1445.1
308,2024-02-06 14:25:00,1445.15,1445.7,1445.0,1445.5
309,2024-02-06 14:30:00,1445.55,1446.9,1445.0,1445.7
310,2024-02-06 14:35:00,1446.45,1447.8,1445.5,1446.3
311,2024-02-06 14:40:00,1446.35,1447.1,1445.95,1446.1
312,2024-02-06 14:45:00,1446.05,1446.15,1444.0,1444.1
313,2024-02-06 14:50:00,1444.05,1445.3,1443.5,1445.0
314,2024-02-06 14:55:00,1445.3,1447.65,1444.75,1446.05
315,2024-02-06 15:00:00,1446.0,1447.4,1445.05,1445.35
316,2024-02-06 15:05:00,1445.25,1445.95,1444.05,1444.55
317,2024-02-06 15:10:00,1444.5,1444.65,1441.8,1442.5
318,2024-02-06 15:15:00,1442.7,1442.85,1441.25,1441.7
319,2024-02-06 15:20:00,1441.65,1443.95,1441.2,1443.95
320,2024-02-06 15:25:00,1443.9,1444.0,1442.05,1443.55
321,2024-02-07 09:15:00,1452.9,1453.5,1448.2,1449.05
322,2024-02-07 09:20:00,1449.1,1449.65,1447.0,1448.35
323,2024-02-07 09:25:00,1448.9,1449.0,1445.0,1445.5
324,2024-02-07 09:30:00,1445.7,1446.1,1442.9,1446.1
325,2024-02-07 09:35:00,1446.45,1447.15,1444.7,1446.55
326,2024-02-07 09:40:00,1446.7,1447.9,1443.6,1444.7
327,2024-02-07 09:45:00,1444.65,1444.7,1442.3,1443.75
328,2024-02-07 09:50:00,1443.5,1444.05,1441.35,1442.5
329,2024-02-07 09:55:00,1442.45,1443.75,1442.1,1443.65
330,2024-02-07 10:00:00,1443.55,1443.95,1439.0,1439.95
331,2024-02-07 10:05:00,1439.85,1441.7,1439.0,1441.7
332,2024-02-07 10:10:00,1441.75,1441.9,1440.85,1441.2
333,2024-02-07 10:15:00,1441.15,1441.3,1440.05,1440.5
334,2024-02-07 10:20:00,1440.45,1441.05,1439.9,1441.05
335,2024-02-07 10:25:00,1440.75,1442.15,1440.4,1440.8
336,2024-02-07 10:30:00,1440.85,1442.4,1440.0,1440.4
337,2024-02-07 10:35:00,1440.25,1442.8,1440.25,1441.6
338,2024-02-07 10:40:00,1441.65,1442.0,1439.35,1440.25
339,2024-02-07 10:45:00,1440.0,1440.95,1438.05,1439.55
340,2024-02-07 10:50:00,1439.2,1441.2,1438.5,1439.75
341,2024-02-07 10:55:00,1439.55,1439.95,1438.2,1439.35
342,2024-02-07 11:00:00,1439.1,1440.05,1438.4,1439.0
343,2024-02-07 11:05:00,1439.05,1439.85,1438.1,1439.3
344,2024-02-07 11:10:00,1439.05,1439.5,1437.4,1438.95
345,2024-02-07 11:15:00,1438.85,1439.7,1438.05,1438.8
346,2024-02-07 11:20:00,1438.65,1438.95,1436.7,1437.0
347,2024-02-07 11:25:00,1436.85,1438.1,1436.6,1436.8
348,2024-02-07 11:30:00,1437.2,1437.2,1433.55,1434.6
349,2024-02-07 11:35:00,1434.45,1436.2,1433.3,1434.5
350,2024-02-07 11:40:00,1434.3,1435.6,1434.0,1435.25
351,2024-02-07 11:45:00,1435.1,1435.85,1434.45,1434.9
352,2024-02-07 11:50:00,1434.8,1435.8,1434.1,1434.5
353,2024-02-07 11:55:00,1434.4,1435.0,1433.95,1434.45
354,2024-02-07 12:00:00,1434.5,1437.2,1434.0,1437.05
355,2024-02-07 12:05:00,1437.35,1437.55,1435.85,1436.05
356,2024-02-07 12:10:00,1436.55,1437.8,1435.5,1436.05
357,2024-02-07 12:15:00,1436.4,1436.65,1434.7,1436.0
358,2024-02-07 12:20:00,1435.7,1436.25,1434.75,1435.0
359,2024-02-07 12:25:00,1434.85,1435.95,1433.55,1435.75
360,2024-02-07 12:30:00,1435.65,1437.0,1435.1,1436.5
361,2024-02-07 12:35:00,1437.0,1437.4,1435.5,1435.85
362,2024-02-07 12:40:00,1435.8,1436.1,1435.2,1435.5
363,2024-02-07 12:45:00,1435.45,1436.15,1434.9,1435.1
364,2024-02-07 12:50:00,1435.0,1436.8,1434.25,1434.7
365,2024-02-07 12:55:00,1434.8,1435.0,1434.3,1434.75
366,2024-02-07 13:00:00,1434.8,1434.85,1432.0,1432.2
367,2024-02-07 13:05:00,1432.25,1434.0,1430.45,1433.95
368,2024-02-07 13:10:00,1433.9,1434.45,1432.0,1432.7
369,2024-02-07 13:15:00,1432.75,1433.65,1432.2,1433.6
370,2024-02-07 13:20:00,1433.55,1434.35,1433.5,1433.8
371,2024-02-07 13:25:00,1433.75,1434.0,1431.7,1432.05
372,2024-02-07 13:30:00,1432.1,1434.25,1431.75,1433.35
373,2024-02-07 13:35:00,1433.3,1434.0,1432.75,1433.6
374,2024-02-07 13:40:00,1433.65,1434.25,1433.0,1433.25
375,2024-02-07 13:45:00,1433.05,1433.5,1431.0,1431.95
376,2024-02-07 13:50:00,1431.35,1432.85,1431.05,1432.15
377,2024-02-07 13:55:00,1432.1,1432.85,1431.65,1432.45
378,2024-02-07 14:00:00,1432.5,1433.6,1431.95,1433.55
379,2024-02-07 14:05:00,1433.5,1434.85,1433.05,1433.5
380,2024-02-07 14:10:00,1433.85,1434.1,1432.6,1433.1
381,2024-02-07 14:15:00,1432.75,1434.0,1432.1,1433.2
382,2024-02-07 14:20:00,1433.3,1434.25,1431.3,1432.45
383,2024-02-07 14:25:00,1432.55,1432.7,1431.05,1431.75
384,2024-02-07 14:30:00,1431.55,1432.0,1430.7,1430.85
385,2024-02-07 14:35:00,1430.9,1431.2,1427.0,1428.65
386,2024-02-07 14:40:00,1428.7,1430.7,1428.65,1429.85
387,2024-02-07 14:45:00,1429.8,1431.0,1428.65,1429.1
388,2024-02-07 14:50:00,1428.95,1431.25,1428.95,1431.25
389,2024-02-07 14:55:00,1431.35,1431.8,1429.45,1430.0
390,2024-02-07 15:00:00,1430.2,1430.95,1429.65,1430.5
391,2024-02-07 15:05:00,1430.35,1430.5,1429.6,1429.95
392,2024-02-07 15:10:00,1430.0,1430.0,1429.5,1429.95
393,2024-02-07 15:15:00,1429.9,1430.0,1429.0,1429.6
394,2024-02-07 15:20:00,1429.7,1430.15,1429.3,1429.95
395,2024-02-07 15:25:00,1430.0,1431.9,1429.75,1430.0
396,2024-02-08 09:15:00,1430.8,1434.0,1429.1,1431.1
397,2024-02-08 09:20:00,1431.0,1435.35,1431.0,1433.0
398,2024-02-08 09:25:00,1432.7,1436.1,1432.7,1434.8
